Reviewer,ReviewTxt
1,Wow... Loved this place.
2,Crust is not good.
3,Not tasty and the texture was just nasty.
4,Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.
5,The selection on the menu was great and so were the prices.
6,Now I am getting angry and I want my damn pho.
7,"Not a Punjabi resturant, their Palak Paneer was the best we have had in Pune."
8,I ordered this through Zomato ORD#176-678765. The delivery was slow but the food was incredible. I loved their indian food and rates were also good.
9,This resturant was recommended to me by my friend. It has multiple branches all over Pune. None of their branches have good parking. They don’t offer valet parking
10,I never heard of this resturant before. Zomato recommended me Palak Paneer and it was incredible. I would definitely love to order this again.
11,This was ordered by me online and the food was pathetic. My order number is ORD#187-709843. Please refund my money. I do not like the Manchurian that you sent me. It was horrible and bitter.
12,"This resturant is amazing, Their food especially roti with makhan and Palak Paneer"
13,Honeslty it didn't taste THAT fresh.)
14,The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.
15,The fries were great too.
16,A great touch.
17,Service was very prompt.
18,Would not go back.
19,The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.
20,"I tried the Cape Cod ravoli, chicken, with cranberry...mmmm!"
21,I was disgusted because I was pretty sure that was human hair.
22,I was shocked because no signs indicate cash only.
23,Highly recommended.
24,Waitress was a little slow in service.
25,I went with my wife here to this resturant. Their Palak Paneer was the best we have had
26,I ordered this through Zomato ORD#176-678765. The delivery was slow but the food was incredible.
27,None of their branches have good parking. They don’t offer valet parking
28,I never heard of this resturant before. Zomato recommended me Palak Paneer and it was incredible. I would definitely love to order this again.
29,This was ordered by me online and the food was pathetic. My order number is ORD#187-788543. Please refund my money. I do not like the Manchurian that you sent me. It was horrible and bitter.
30,"This resturant is amazing, Their food especially roti with makhan and Palak Paneer"
31, Mind blown I would give this 5/5 ratings to the chef.
32,"This hole in the wall has great Garlic Naans, and friendly staff."
33,"Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed."
34,The worst was the salmon sashimi.
35,"Also there are combos like a burger, fries, and beer for 23 which is a decent deal."
36,This was like the final blow!
37,I found this place by accident and I could not be happier.
38,"seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere."
39,"Overall, I like this place a lot."
40,The only redeeming quality of the restaurant was that it was very inexpensive.
41,Ample portions and good prices.
42,"Poor service, the waiter made me feel like I was stupid every time he came to the table."
43,My first visit to Hiro was a delight!
44,Service sucks. Their chinese Manchurian was horrible
45,The shrimp tender and moist.
46,There is not a deal good enough that would drag me into that establishment again.
47,Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.
48,"On a positive note, our server was very attentive and provided great service."
49,"Frozen pucks of disgust, with some of the worst people behind the register."
50,The only thing I did like was the prime rib and dessert section.
51,It's too bad the food is so damn generic.
52,"The burger is good beef, cooked just right."
53,If you want a sandwich just go to any Firehouse!!!!!
54,We'll never go again. Horrible Manchurian
55,Will be back again!
56,Food arrived quickly!
57,It was not good. Ordered online ORD#132-676543. Please refund my money
58,"On the up side, their cafe serves really good food."
59,"Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow, he added extra to our meal and another marrow to go!"
60,"The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming."
61,"Best Buffet in town, for the price you cannot beat it."
62,I LOVED their Palak Paneer with roti and naan
63,This is one of the better buffets that I have been to.
64,So we went to Tigerlilly and had a fantastic afternoon!
65,"The food was delicious, our bartender was attentive and personable AND we got a great deal!"
66,The ambience is wonderful and there is music playing.
67,Avoid at all cost!. Their Manchurian and other chinese foods sucks!!!
68,Restaurant is always full but never a wait.
69,DELICIOUS!! Their indian gravies like Palak Paneer is just lipsmacking
70,This place is hands-down one of the best places to eat in the Phoenix metro area.
71,So don't go there if you are looking for good food...
72,I've never been treated so bad.
73,Bacon is hella salty.
74,"We also ordered the spinach and avocado salad, the ingredients were sad and the dressing literally had zero taste."
75,"This really is how Vegas fine dining used to be, right down to the menus handed to the ladies that have no prices listed."
76,The waitresses are very friendly.
77,"Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!"
78,Everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter.
79,Their Palak Paneer is amazing
80,I hated their Manchurian
81,Their Chinese is horrible
82,Their Indian gravies are amazing
83,I enjoyed their Palak Paneer with rice
84,Amazing Biryani
85,I do not like the Manchurian that you sent me in ORD#123-761234
86,Their Palak Paneer is too good
87,They have awesome gravies especially Palak Paneer
88,"Palak Paneer, we love you"
89,"Manchurian, we hate you"
90,Why do you even serve Manchurian? It's horrible
91,Won't go back.
92,Extremely Tasty!
93,Palak Paneer is too good
94,Biryani is amazing
95,"Please stop making chinese, especially Manchurian"
96,Waitress was good though!
97,Soggy and not good.
98,The Jamaican mojitos are delicious.
99,Which are small and not worth the price.
100,Palak Paneer is too good
